,pathway,source
232,R-HSA-2132295,ENSG00000197959
233,R-HSA-437239,ENSG00000197959
234,R-HSA-2672351,ENSG00000198626
235,R-HSA-5578775,ENSG00000198626
236,R-HSA-6798695,ENSG00000203710
237,R-HSA-8877330,ENSG00000203710
238,R-HSA-977606,ENSG00000203710
239,R-HSA-8851680,ENSG00000204290
240,R-HSA-193648,ENSG00000205726
241,R-HSA-3928662,ENSG00000205726
242,R-HSA-416482,ENSG00000205726
243,R-HSA-8856825,ENSG00000205726
244,R-HSA-9013148,ENSG00000205726
245,R-HSA-9013406,ENSG00000205726
246,R-HSA-9013408,ENSG00000205726
247,R-HSA-1971475,ENSG00000213420
248,R-HSA-2022928,ENSG00000213420
249,R-HSA-2024096,ENSG00000213420
250,R-HSA-3560783,ENSG00000213420
251,R-HSA-3560801,ENSG00000213420
252,R-HSA-3656237,ENSG00000213420
253,R-HSA-3656253,ENSG00000213420
254,R-HSA-4420332,ENSG00000213420
255,R-HSA-9694614,ENSG00000213420
256,R-HSA-975634,ENSG00000213420
257,R-HSA-432720,ENSG00000221838
258,R-HSA-202424,ENSG00000232629
259,R-HSA-202427,ENSG00000232629
260,R-HSA-202430,ENSG00000232629
261,R-HSA-202433,ENSG00000232629
262,R-HSA-2132295,ENSG00000232629
263,R-HSA-389948,ENSG00000232629
264,R-HSA-877300,ENSG00000232629
265,R-HSA-8963888,ENSG00000234906
266,R-HSA-8963889,ENSG00000234906
267,R-HSA-8963901,ENSG00000234906
268,R-HSA-8964058,ENSG00000234906
269,R-HSA-9029569,ENSG00000234906
270,R-HSA-975634,ENSG00000234906
271,R-HSA-202424,ENSG00000237541
272,R-HSA-202427,ENSG00000237541
273,R-HSA-202430,ENSG00000237541
274,R-HSA-202433,ENSG00000237541
275,R-HSA-2132295,ENSG00000237541
276,R-HSA-389948,ENSG00000237541
277,R-HSA-877300,ENSG00000237541
278,R-HSA-2132295,ENSG00000241106
279,R-HSA-163210,ENSG00000241837
280,R-HSA-8949613,ENSG00000241837
281,R-HSA-173736,ENSG00000243649
282,R-HSA-174577,ENSG00000243649
283,R-HSA-977606,ENSG00000243649
284,R-HSA-8866423,ENSG00000267467
285,R-HSA-8964046,ENSG00000267467
286,R-HSA-9029569,ENSG00000267467
287,R-HSA-212436,ENSG00000062370
288,R-HSA-8856828,ENSG00000073921
289,R-HSA-2172127,ENSG00000095970
290,R-HSA-167172,ENSG00000099817
291,R-HSA-167246,ENSG00000099817
292,R-HSA-6781827,ENSG00000099817
293,R-HSA-72203,ENSG00000099817
294,R-HSA-75955,ENSG00000099817
295,R-HSA-76042,ENSG00000099817
296,R-HSA-167172,ENSG00000104884
297,R-HSA-167246,ENSG00000104884
298,R-HSA-6781827,ENSG00000104884
299,R-HSA-75955,ENSG00000104884
300,R-HSA-76042,ENSG00000104884
301,R-HSA-72200,ENSG00000124701
302,R-HSA-418990,ENSG00000130202
303,R-HSA-8856828,ENSG00000136717
304,R-HSA-9013507,ENSG00000138613
305,R-HSA-8856828,ENSG00000138760
306,R-HSA-2454202,ENSG00000149534
307,R-HSA-418555,ENSG00000172354
308,R-HSA-418594,ENSG00000172354
309,R-HSA-1632852,ENSG00000188186
310,R-HSA-165159,ENSG00000188186
311,R-HSA-8856828,ENSG00000197959
312,R-HSA-8856828,ENSG00000205726
